"","County","Total.Votes.For","Total.Votes.Against","fips","County.Name","stabb","lat","lon","sqmiles","state","macode","maname","totpop00","totpop06","chpop","popdens06","pop0_5","pop6_17","pop0_4","pop5_9","pop10_14","pop15_19","pop20_24","pop25_29","pop30_34","pop35_39","pop40_44","pop45_49","pop50_54","pop55_59","pop60_64","pop65_69","pop70_74","pop75_79","pop80_84","pop85up","medage","white","black","natam","asian","pacific","tworace","hispanic","whtnonh","totfam","tothu","owners","renters","vacant","medhhinc","agghhinc","avhhinc","tothh06","hh1per","ihhunder10","ihh10_15k","ihh15_20k","ihh20_25k","ihh25_30k","ihh30_35k","ihh35_40k","ihh40_45k","ihh45_50k","ihh50_60k","ihh60_75k","ihh75_100k","ihh100_125","ihh125_150","ihh150_200","ihh200kpls","inceld65_74","inceld75up","incwhite","incblack","incnatamer","incasian","incpacific","inc2race","pwhite","pblack","phispanic","pnatam","ptworace","asianpac","pasianpac","pop20_34","pop35_49","pop50_64","pop65_up","ppop20_34","ppop35_49","ppop50_64","ppop65_up","ihh0_20","ihh20_40","ihh40_60","pihh0_20","pihh20_40","pihh40_60","pihh60_75","pihh75_100","pihh100_125","pihh125_150","pihh150_200","pihh200_up","Location","statefp","inlabf00","civlab00","emp00","unemp00","pctcivlf00","military00","mfg00","gov00","pmilit00","pgov00","pmfg00","punemp00","pdpres00","pdpres04","prpres00","prpres04","pagri00","pprof00","ptradeser00","mortmonth","pcollroll00","pbornst00","ptransp00","peduc00","pself00","pfampov00","pmobilehh00","phs","pcollege","bigcity2","monied2","boom2","minority2","evangel2","immig2","tractor2","mormon2","service2","empty2","milit2","college2","Counties","bigcity10","monied10","boom10","minority10","evangel10","immig10","tractor10","mormon10","service10","empty10","military10","college10","categories10","Registered.Voters","Ballots.Cast","VoterTurnout","PctRegisteredFor","PctRegisteredAgainst"
"39","Granville",8341,4022,37077,"NC_ Granville County","NC",36.2383,-78.658278,"531.1",37,"#NULL!"," ","48,498","53,805",10.9,"101.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,870,43.1,NA,NA,371,356,1,373,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,246,208,213,NA,NA,NA,NA,NA,NA,0,NA,70.81,37.86,6.82,0.76,0.77,357,0.74,NA,NA,NA,NA,22.27,26.69,19.96,13.72,NA,NA,NA,24.15,24.87,22.34,11.18,9.07,3.7,1.31,1.11,1.13,NA,37,NA,NA,NA,972,4.4,32,NA,NA,0.15,21,21.63,4.44,51.22,48.69,48.78,51.02,2.66,7.18,26.34,951,16.56,73.34,3.36,24.94,6.54,9.04,28.6,73,13,12.09,37.05,34.55,52.85,53.46,13.66,51.87,22.8,46.97,10.15,15,29.9,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,34701,12632,36.402409152474,24.036771274603,11.5904440794213
"40","Greene",3032,1155,37079,"NC_ Greene County","NC",35.472836,-77.668536,"265.3",37,"#NULL!"," ","18,974","20,040",5.6,"75.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,748,610,483,343,362,43,NA,NA,81,26,2,72,NA,0,NA,NA,NA,NA,694,NA,NA,NA,NA,NA,NA,638,559,537,479,611,481,452,353,774,458,432,117,39,16,62,0,NA,NA,NA,NA,NA,0,NA,62.46,42.2,11.97,0.43,0.38,28,0.15,NA,NA,NA,NA,22,23.35,18.27,13.42,NA,NA,NA,31.66,29.31,21.95,6.37,6.01,1.63,0.54,0.22,0.86,NA,37,NA,NA,NA,620,7.3,15,NA,NA,0.18,17.77,22.5,7.27,42.5,41.18,57.5,58.71,7.31,3.28,29.27,813,13.5,81.6,4.19,21.09,7.44,15.96,36.92,65.4,8.2,9.85,30.33,31.56,58.43,51.04,21.52,47.35,26.12,51.86,10.36,21.08,27.67,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,11097,4259,38.3797422726863,27.3226998287826,10.4082184374155
"41","Guilford",58520,58448,37081,"NC_ Guilford County","NC",36.061421,-79.851229,"648.0",37,"3120","Greensboro--Winston-Salem--High Point_ NC","421,048","448,028",6.4,"689.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,NA,NA,213,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.94,33.21,5.94,0.52,1.24,NA,3.5,NA,NA,NA,NA,23.11,23.76,18.14,12.96,NA,NA,NA,19.81,26.02,20.62,10.51,9.81,5.11,2.52,2.14,2.5,NA,37,NA,NA,NA,NA,5.5,177,NA,NA,0.08,11.89,17.51,5.47,48.91,50.19,51.09,49.3,0.34,8.96,28.74,NA,28.42,61.23,5.26,18.7,5.23,7.62,3.93,83,30.3,24.36,34.99,40.73,43.68,55.87,11.47,56.21,21.98,50.58,13.23,15.78,27.14,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,338263,118227,34.9512066055111,17.300148109607,17.2788628966219
"42","Halifax",8554,4070,37083,"NC_ Halifax County","NC",36.347045,-77.674319,"725.6",37,"#NULL!"," ","57,370","55,565",-3.1,"76.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,353,0,269,650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,NA,NA,961,482,125,140,148,NA,NA,NA,NA,NA,NA,0,NA,40.02,52.26,1.13,3.49,0.47,353,0.62,NA,NA,NA,NA,18.47,19.82,17.06,14.33,NA,NA,NA,38.4,28.25,17.01,6.31,4.46,2.24,0.58,0.65,0.69,NA,37,NA,NA,NA,NA,8.1,11,NA,NA,0.05,18.26,21.19,8.08,60.41,58.68,39.59,41.17,3.63,3.56,33.18,772,13.15,83.01,4.36,20.06,5.67,19.4,24.59,65.4,11.1,14.52,25.22,30.09,64.06,51.24,9.83,48.14,25.1,59.47,10.98,16.97,28.64,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,35932,12901,35.9039296448848,23.8060781476122,11.3269509072693
"43","Harnett",14678,4828,37085,"NC_ Harnett County","NC",35.362895,-78.828445,"595.1",37,"#NULL!"," ","91,025","105,832",16.2,"177.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,NA,NA,968,966,146,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,262,395,NA,NA,NA,NA,NA,NA,NA,NA,86.58,25.88,9.79,1.06,1.52,NA,1.22,NA,NA,NA,NA,26.35,25.67,17.67,12.32,NA,NA,NA,27.44,28.63,21.47,9.07,7.3,2.66,0.97,0.66,1,NA,37,NA,NA,NA,NA,8.3,NA,NA,NA,5.37,14.57,18.04,7.83,38.28,35.5,61.72,64.24,2.18,5.79,29.48,896,24.09,65.38,3.86,18.6,6.5,11.29,31.86,75,12.8,10.04,36.11,39.83,45.24,58.45,20.15,50,24.83,58.04,10.46,23.08,30.16,NA,0,0,"0",0,0,0,0,0,0,0,1,0,11,64072,19719,30.7763141465851,22.9086028218254,7.53527281807966
"44","Haywood",11228,4319,37087,"NC_ Haywood County","NC",35.516349,-82.941559,"553.6",37,"#NULL!"," ","54,033","56,280",4.1,"101.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,NA,795,293,207,18,317,996,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,148,223,229,NA,NA,NA,NA,NA,NA,0,NA,101.14,1.47,1.84,0.54,0.59,225,0.42,NA,NA,NA,NA,17.58,21.32,20.93,20.89,NA,NA,NA,27.1,30.38,20.78,9.06,6.52,2.29,0.61,0.92,0.94,NA,37,NA,NA,NA,NA,4.6,6,NA,NA,0.02,14.49,15.8,4.56,44.69,43.33,55.31,56.09,2.22,5.57,31.94,811,19.25,70.36,3.47,21.18,9.58,8.12,18.21,77.7,16,13.78,32.29,29.13,25.65,67.66,11.49,55.93,17.85,60.52,9.5,14.36,29.56,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,42122,15651,37.1563553487489,26.6559042780495,10.2535492141874
"45","Henderson",19601,9976,37089,"NC_ Henderson County","NC",35.33772,-82.473931,"373.6",37,"#NULL!"," ","89,173","98,527",10.4,"263.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,NA,321,681,4,678,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,591,636,NA,NA,NA,NA,NA,NA,NA,NA,105.21,3.39,9.09,0.36,0.76,685,0.77,NA,NA,NA,NA,18.35,21.62,20.71,23.63,NA,NA,NA,21.41,30.2,21.46,9.98,8.42,3.21,1.29,1.42,1.53,NA,37,NA,NA,NA,NA,4.6,12,NA,NA,0.03,11.1,19.98,4.6,32.84,34.7,67.16,64.82,2.05,6.84,30.41,920,15.82,49.84,3.81,19.21,8.99,6.78,20.23,83.2,24.1,15.59,38.66,27.27,27.28,65.39,18.58,54.4,20.65,59.02,12.44,15.15,30.19,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,77214,29804,38.5992177584376,25.3852928225451,12.9199367990261
"46","Hertford",3817,1627,37091,"NC_ Hertford County","NC",36.34851,-77.00867,"352.9",37,"#NULL!"," ","22,601","23,435",3.6,"66.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997,865,723,509,529,43.4,NA,NA,295,137,6,83,472,0,NA,NA,NA,NA,795,NA,NA,NA,NA,NA,NA,844,966,972,675,710,584,394,387,586,601,485,158,81,63,96,0,NA,NA,NA,NA,NA,0,NA,36.64,64.74,2.09,1.31,0.37,143,0.63,NA,NA,NA,NA,19.15,20.8,19.53,16.03,NA,NA,NA,36.57,31.47,14.63,6.43,5.19,1.69,0.87,0.67,1.03,NA,37,NA,NA,NA,829,8.7,12,NA,NA,0.13,17.41,20.61,8.69,69.72,63.22,30.28,36.18,3.99,3.9,29.45,746,13.66,78.85,3.32,25.27,6.27,15.88,25.51,65.6,11.1,12.86,27.78,29.4,68.97,56.08,7.82,53.37,23.08,57.36,10.67,16.1,30.3,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,14443,5718,39.5901128574396,26.4280274181264,11.2649726511113
"47","Hoke",4366,2344,37093,"NC_ Hoke County","NC",34.982597,-79.193821,"390.9",37,"#NULL!"," ","33,646","42,770",27.1,"109.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882,666,405,375,37.3,NA,NA,NA,417,102,791,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987,NA,NA,NA,NA,NA,685,813,NA,NA,884,297,140,14,111,NA,NA,NA,NA,NA,NA,NA,NA,65.03,45.67,13.25,12.52,2.35,519,1.54,NA,NA,NA,NA,29.15,28.46,17.12,10.28,NA,NA,NA,27.17,32.98,20.01,9.15,6.04,2.03,0.96,0.1,0.76,NA,37,NA,NA,NA,991,7,NA,NA,NA,9.48,14.59,22.49,6.36,59.33,52.25,40.67,47.41,3.19,3.28,29.37,854,18.36,64.76,4.46,21.06,5.18,14.38,33.4,73.5,10.9,7.82,37.12,42.67,57.03,58,21.41,48.38,25.49,61.03,13.14,31.06,29.89,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,27666,6807,24.6042073302971,15.7811031591123,8.47249331309188
"48","Hyde",909,509,37095,"NC_ Hyde County","NC",35.464292,-76.207561,"613.0",37,"#NULL!"," ","5,826","5,356",-8,"8.7",320,654,265,270,310,321,320,347,364,378,419,433,391,362,284,248,208,166,120,150,43,NA,NA,24,20,0,0,96,0,NA,NA,NA,476,NA,NA,NA,NA,NA,598,310,187,142,174,216,189,156,97,69,159,147,80,42,18,5,0,0,0,NA,NA,0,0,0,0,59.06,32.11,1.65,0.41,0,20,0.34,NA,NA,NA,892,17.7,21.11,17.8,15.31,639,735,325,31.65,36.4,16.1,7.28,3.96,2.08,0.89,0.25,0,NA,37,NA,NA,NA,124,5.3,0,171,594,0,25.17,7.25,5.25,49.01,45.7,50.99,53.86,15.88,2.68,38.42,689,5.74,78.82,6.08,15.43,16.64,10.3,23.44,68.4,10.6,12.97,24.26,25.78,45.9,55.52,14.03,60.01,27.43,64.78,12.69,19.86,25.87,NA,0,0,"0",0,0,0,0,0,1,0,0,0,9,3609,1449,40.1496259351621,25.1870324189526,14.103629814353
"49","Iredell",24910,9013,37097,"NC_ Iredell County","NC",35.72622,-80.870388,"574.9",37,"#NULL!"," ","122,660","144,103",17.4,"250.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,482,NA,25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968,906,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.75,14.66,5.85,0.39,0.85,NA,1.83,NA,NA,NA,NA,22.15,26.33,20.99,15.45,NA,NA,NA,19.44,26.52,22.12,11.26,10.35,3.9,1.72,1.61,2.04,NA,37,NA,NA,NA,NA,4,52,NA,NA,0.08,9.82,26.95,3.96,34.08,31.71,65.92,67.88,1.76,5.64,27.9,986,14.19,64.74,5.15,15.95,6.78,6.18,17.86,78.4,17.4,13.03,41.41,33.32,36.72,58.06,17.53,46.3,23.32,48.05,13.92,15.16,28.63,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,105936,34310,32.3874792327443,23.5141972511705,8.50796707446005
"50","Jackson",5706,3544,37099,"NC_ Jackson County","NC",35.337681,-83.198724,"490.4",37,"#NULL!"," ","33,121","35,489",7.1,"72.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736,696,42.5,NA,839,NA,189,2,360,737,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913,949,815,782,NA,NA,982,334,193,110,198,NA,NA,NA,NA,NA,NA,0,NA,91.71,2.53,2.23,11.25,1.09,191,0.58,NA,NA,NA,NA,27.82,19.96,19.68,16.33,NA,NA,NA,28.9,29.68,19.02,8.28,6.9,2.35,1.36,0.77,1.39,NA,37,NA,NA,NA,NA,10.2,14,NA,NA,0.08,23,7.55,10.24,47.85,47.53,52.15,51.86,1.79,6.94,33.32,824,50.41,62.72,3.02,29.23,9.4,9.49,20.49,78.8,25.5,11.81,33.79,40.23,36.59,56.81,10.3,66.38,21.71,67.48,7.95,11.82,50.2,NA,0,0,"0",0,0,0,0,0,1,0,0,0,9,26217,9319,35.5456383262768,21.7645039478201,13.5179463706755
"51","Johnston",26341,9455,37101,"NC_ Johnston County","NC",35.550979,-78.398064,"791.2",37,"6640","Raleigh-Durham-Chapel Hill_ NC","121,965","150,557",23.4,"190.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,679,714,252,939,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,538,544,NA,NA,NA,NA,NA,NA,NA,NA,101.35,19.97,13.02,0.56,0.77,966,0.79,NA,NA,NA,NA,24.82,28.97,20.26,13.01,NA,NA,NA,23.12,25.27,22.44,11.84,9.62,3.86,1.12,0.93,0.94,NA,37,NA,NA,NA,NA,4,149,NA,NA,0.24,17.41,14.15,3.95,33.49,31.76,66.51,67.89,1.87,7.74,28.66,997,14.7,68.76,4.42,15.73,6.79,8.91,23.61,75.9,15.9,12.08,45.1,35.96,40.29,56.78,21.86,50.36,23.06,52.94,10.93,16.12,28.11,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,102221,36016,35.2334647479481,25.7686776689721,9.24956711438941
"52","Jones",1823,737,37103,"NC_ Jones County","NC",35.027444,-77.342732,"471.9",37,"#NULL!"," ","10,381","10,318",-0.6,"21.8",636,NA,521,578,756,767,684,587,574,611,758,789,751,699,553,458,399,332,251,250,43.6,NA,NA,42,33,6,33,344,0,NA,NA,NA,853,623,NA,NA,NA,NA,990,599,351,346,311,358,338,333,237,169,274,360,209,55,13,14,72,NA,0,NA,NA,NA,NA,0,NA,64.71,33.58,3.31,0.4,0.32,39,0.38,NA,NA,NA,NA,17.77,20.79,19.29,16.28,NA,NA,680,31.64,32.71,16.6,8.79,5.1,1.34,0.32,0.34,1.76,NA,37,NA,NA,NA,228,5,48,533,867,1.05,18.89,11.61,4.97,46.29,41.95,53.71,57.77,6.86,4.73,31.76,818,14.38,82.28,5.68,24.3,9.23,14.25,34.92,72.2,9.5,12.07,28.78,24.54,56.04,49.69,13.08,57.31,23.48,56.36,8.73,32.11,26.62,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,7442,2588,34.7755979575383,24.496103198065,9.90325181402849
"53","Lee",8306,3500,37105,"NC_ Lee County","NC",35.462801,-79.172938,"257.2",37,"#NULL!"," ","49,040","56,878",15.9,"221.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,985,43,NA,NA,331,419,43,279,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,260,236,319,NA,NA,NA,NA,NA,NA,0,NA,90.13,23.66,17.13,0.67,0.57,462,0.94,NA,NA,NA,NA,23.03,24.59,19.79,15.12,NA,NA,NA,23.05,27.27,19.95,10.09,10.26,4.4,1.2,1.09,1.47,NA,37,NA,NA,NA,NA,4.6,201,NA,NA,0.83,12.89,29.03,4.61,41.91,39.18,58.09,60.55,1.33,5.52,27.12,927,15,65.37,3.52,17.71,6.75,9.84,18.08,76.3,17.2,11.67,37.66,35.13,39.62,53.27,25.33,44.85,21.21,46.53,11.99,18.56,30.38,NA,0,0,"0",0,0,1,0,0,0,0,0,0,6,32977,11946,36.2252479000515,25.1872517208964,10.6134578645723
"54","Lenoir",8635,3411,37107,"NC_ Lenoir County","NC",35.262266,-77.631675,"400.2",37,"#NULL!"," ","59,648","57,644",-3.3,"144.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA,NA,121,268,44,172,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,188,189,237,NA,NA,NA,NA,NA,NA,0,NA,55.6,40.02,4.22,0.2,0.29,312,0.52,NA,NA,NA,NA,18.06,19.88,17.96,14.16,NA,NA,NA,31.17,29.48,19.33,8.02,5.94,2.01,0.81,0.82,1.02,NA,37,NA,NA,NA,NA,8,75,NA,NA,0.27,18.37,18.98,7.99,45.28,44.04,54.72,55.82,3.57,4.56,30.5,861,16.05,82.35,3.66,23.27,7.21,12.61,23.9,71.9,13.3,13.72,26.3,33.66,53.31,51.66,11.02,52.56,24.66,56.13,10.14,18.12,29.69,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,38142,12374,32.4419275339521,22.6390855225211,8.94289759320434
"55","Lincoln",15268,4467,37109,"NC_ Lincoln County","NC",35.483065,-81.194248,"298.3",37,"1520","Charlotte-Gastonia-Rock Hill_ NC","63,780","70,989",11.3,"237.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,240,285,6,456,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,486,300,279,NA,NA,NA,NA,NA,NA,NA,NA,102.81,6.94,9.37,0.38,0.71,291,0.46,NA,NA,NA,NA,21.68,25.37,20.45,13.85,NA,NA,NA,19.02,27.1,24.45,11.49,9.21,3.61,1.8,1.11,1.03,NA,37,NA,NA,NA,NA,3.9,28,NA,NA,0.08,10.49,30.77,3.89,34.53,31.89,65.47,67.79,0.91,5.91,24.37,965,13.73,71.49,8.2,13.85,5.3,6.88,24.58,71.7,13,11.89,39.48,35.81,30.58,56.4,19.6,39.8,21.11,44.04,11.08,15.77,24.79,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,51050,19906,38.9931439764936,29.9079333986288,8.75024485798237
"56","Macon",6377,2068,37113,"NC_ Macon County","NC",35.158433,-83.377767,"516.5",37,"#NULL!"," ","29,811","32,346",8.5,"62.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,NA,528,128,202,0,174,701,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,804,NA,NA,736,373,147,108,175,NA,NA,NA,NA,NA,NA,NA,NA,105.04,1.77,2.35,0.43,0.58,202,0.68,NA,NA,NA,NA,17.51,19.7,22.11,25.11,NA,NA,NA,29.64,31.41,19.17,7.19,5.25,2.66,1.05,0.77,1.25,NA,37,NA,NA,NA,656,4.9,10,NA,NA,0.07,14.11,10.95,4.85,35.78,36.53,64.22,62.89,2.63,7.24,31.75,700,17.67,47,2.95,18.34,13.37,8.78,14.83,77.3,16.2,14.66,37.17,23.45,26.52,71.84,14.4,60.74,19.49,64.24,11.73,15.06,30.77,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,24365,8561,35.136466242561,26.1727888364457,8.48758465011287
"57","Madison",3822,1605,37115,"NC_ Madison County","NC",35.841737,-82.649167,"449.6",37,"480","Asheville_ NC","19,635","20,300",3.3,"45.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,784,622,475,503,43,NA,216,52,76,2,71,322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,549,701,594,652,581,491,401,685,704,401,205,64,47,51,NA,0,NA,NA,NA,NA,0,NA,101.26,1.1,1.64,0.26,0.36,78,0.4,NA,NA,NA,NA,20.89,20.77,19.99,17.02,NA,NA,NA,31.53,30.38,18.95,8.46,4.82,2.46,0.77,0.56,0.61,NA,37,NA,NA,NA,478,5.2,24,NA,NA,0.26,15.27,17.11,5.18,42.84,44.74,57.16,54.69,3.57,5.67,28.53,790,27.9,70.37,5.14,20.66,10.32,10.88,27.76,69.3,16.1,12.95,31.67,33.68,27.71,67.03,12.44,54.1,20.24,56.21,6.8,14.1,28.44,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,16183,5474,33.8256194772292,23.6173762590373,9.91781499103998
"58","Martin",4079,1666,37117,"NC_ Martin County","NC",35.834625,-77.103742,"461.3",37,"#NULL!"," ","25,593","24,339",-4.9,"52.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888,721,524,514,43.3,NA,NA,87,85,11,62,542,0,NA,NA,NA,NA,932,NA,NA,NA,NA,NA,NA,906,757,887,736,635,520,409,505,696,805,603,209,100,39,63,NA,0,NA,NA,NA,NA,0,NA,51.54,42.6,2.12,0.34,0.24,96,0.38,NA,NA,NA,NA,17.38,19.16,17.99,14.55,NA,NA,NA,33.76,28.88,16.74,8.37,6.27,2.17,1.04,0.41,0.65,NA,37,NA,NA,NA,928,8,22,NA,NA,0.19,15.2,21.94,8,52.72,48.81,47.28,51.03,5.12,5.04,29.64,724,14.19,86.29,3.8,20.97,7.77,16.26,23.38,70.7,11.6,13.69,25.34,30.84,55.54,54.75,10.04,50.4,22.57,52.21,9.99,16.4,29.13,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,17242,5833,33.8301821134439,23.6573483354599,9.66245215172254
